StartX, StartZ, PickUpX, PickUpZ, DropDownX, DropDownZ, StartTime, ActualTime, AssumptionTime, WaitForGoalTime, JammingTime, MainStateChangeCount, RedirectStateChangeCount, JamStateChangeCount, PathChangeCount, PathUpdateCount, PathTurnCount, TotalDistanceX, TotalDistanceZ
14,15,14,15,14,16,0,0.54,0.5,0,0,3,0,0,2,1,1,0,1
6,10,6,10,5,9,0,1.06,1,0,0,3,0,0,2,2,2,1,1
5,5,5,5,6,4,0,1.06,1,0,0,3,0,0,2,2,2,1,1
10,0,10,0,11,2,0,1.56,1.5,0,0,3,0,0,2,3,2,1,2
9,0,9,0,8,3,0,2.08,2,0,0,3,0,0,2,4,2,1,3
2,10,2,10,1,14,0,2.64,2.5,0,0,3,0,0,2,7,4,1,4
15,15,15,15,12,12,0,3.16,3,0,0,3,0,0,2,8,5,3,3
9,12,9,12,5,12,0,3.72,2,0,0.52,4,0,1,3,9,7,4.08,2
10,8,10,8,15,5,0,4.18,4,0,0,3,0,0,2,8,2,5,3
0,2,0,2,5,6,0,5.26,4.5,0.5199999,0,4,0,1,3,10,3,5,4
7,12,7,12,10,16,0,5.32,3.5,0,0.52,4,0,1,3,12,8,5,4
4,4,4,4,5,3,0,7.18,1,0,0.5399999,4,1,2,4,16,9,7,5.079998
8,8,8,8,16,14,0,7.54,7,0,0,3,0,0,2,14,2,8,6
15,10,15,10,10,16,0,9.699999,5.5,0.6,1.64,7,1,5,7,17,6,7,6
0,18,0,18,7,7,0,10.54,9,0,0.6,4,0,1,3,19,3,7,11
18,2,18,2,13,15,0,10.66,9,0,0.52,4,0,1,3,19,3,5,13
18,18,18,18,11,12,0,11.26,6.5,0.84,1.74,7,1,5,7,20,7,9,6
18,10,18,10,1,11,0,11.98,9,0,1.68,6,0,3,5,21,5,17,1
0,5,0,5,10,10,0,12.1,7.5,0,3.2,9,1,7,9,22,9,10,5
4,2,4,2,3,16,0,12.4,7.5,0.52,1.82,6,3,6,8,26,11,3,14
1,10,1,10,11,2,0,12.6,9,0.6,0.6,5,1,3,5,22,5,10,9.999998
10,18,10,18,19,5,0,12.8,11,0,0.52,4,0,1,3,23,3,9,13
18,16,18,16,9,4,0,13,10.5,0,0,3,0,0,2,25,7,11,12.08
15,5,15,5,2,14,0,13.5,11,0,1.2,5,0,2,4,24,4,13,9
14,5,14,5,11,12,0,13.8,5,0.6,4.48,11,2,10,12,23,12,3,11
10,12,10,12,0,3,0,13.8,9.5,0,2.86,8,0,5,7,24,7,9.999996,8.999999
5,15,5,15,18,12,0,14.5,8,0.5799999,2.28,8,2,5,9,28,14,15,5
2,18,2,18,14,8,0,15,11,0,2.32,7,0,4,6,26,6,12,10
4,5,4,5,16,16,0,16.1,11.5,0,1.68,6,1,4,6,29,7,14,11
4,15,4,15,19,3,0,19.7,13.5,0,2.84,8,0,5,7,36,12,15,14
0,3,0,3,3,2,19.87597,2.200001,2,0,0,3,0,0,2,4,2,3,1
5,9,5,9,7,7,19.87597,2.5,2,0,0,3,0,0,2,4,2,2,2
14,17,14,17,9,16,19.87597,3.6,3,0,0,3,0,0,2,6,2,5,1
12,13,12,13,15,16,19.87597,3.700001,3,0,0,3,0,0,2,6,2,3,3
18,12,18,12,14,10,19.87597,4.9,3,0,1.2,5,0,2,4,8,4,4,2
2,14,2,14,7,19,19.87597,5.6,5,0,0,3,0,0,2,10,2,5,5
7,7,7,7,13,3,19.87597,6,5,0,0,3,0,0,2,10,2,6,4
15,6,15,6,12,13,19.87597,6.1,5,0,0,3,0,0,2,10,2,3,7
19,3,19,3,15,10,19.87597,7,5.5,0,0.6,4,0,1,3,12,3,4,7
16,14,16,14,17,5,19.87597,7.299999,5,0,1.1,4,1,2,4,12,3,1,9
5,12,5,12,7,1,19.87597,8.299999,6.5,0,0.6,4,0,1,3,14,3,2,11
11,12,11,12,10,2,19.87597,8.5,5.5,0,0.6,4,0,1,3,16,7,3,9.999998
1,14,1,14,4,1,19.87597,9.1,8,0,0,3,0,0,2,16,2,3,13
14,8,14,8,6,14,19.87597,9.200001,7,0,0.6,4,0,1,3,15,3,8,6
10,10,10,10,0,5,19.87597,9.5,7.5,0,0.6,4,0,1,3,16,3,9.999996,5
11,13,11,13,11,1,19.87597,9.799999,6,0,2.4,7,0,4,6,13,4,0,12
6,4,6,4,2,11,19.87597,10.6,5.5,0,2.4,7,1,5,7,18,7,4,9
12,2,12,2,14,17,19.87597,11.4,8.5,0.6,0.6,5,0,2,4,19,4,2,15
16,16,16,16,8,7,19.87597,11.7,8.5,0,1.2,5,0,2,4,19,4,8,9
9,4,9,4,0,15,19.87597,11.8,10,0,0,3,0,0,2,20,2,8.999996,11
1,11,1,11,17,15,19.87597,13.1,10,0,1.2,5,0,2,4,22,4,16,4
